CID,CRPName,Party,DistIDRunFor,FECCandID
N00035563,"Dagnesses, Rafael",R,CA26,H4CA26139
N00041946,"Dahl, Paul",D,IA04,H8IA04130
N00031336,"Dahm, Nathan Ryan",R,OK01,H0OK01089
N00042241,"Dandridge, Shawn",R,TX06,H8TX06241
N00040970,"Daniels, Sholdon",R,TX04,H8TX04154
N00042094,"Darius, Wade",D,FL10,H8FL10066
N00041811,"Das, Abhijit Beej",D,MA03,H8MA03130
N00041422,"Das, Mona",D,WA08,H8WA08155
N00042500,"David, Dan",R,PA15,H8PA15286
N00041404,"David, Steven",D,TX08,H8TX08080
N00041828,"Davidson, DeMarco",D,MO01,H8MO01150
N00040913,"Davidson, Rob",D,MI02,H8MI02113
N00038767,"Davidson, Warren",R,OH08,H6OH08315
N00004884,"Davis, Danny K",D,IL07,H4IL07037
N00042213,"Davis, John Timothy",D,SC04,H8SC04201
N00041563,"Davis, Melissa",D,GA07,H8GA07185
N00041466,"Davis, Pat",D,NM01,H8NM01406
N00041471,"Davis, Paul",D,WV03,H8WV03063
N00041805,"Davis, Paul",D,KS02,H8KS02173
N00040556,"Davis, Richard H",D,AR04,H8AR04106
N00042449,"Davis, Richmond",R,MD07,H8MD07083
N00034784,"Davis, Rodney",R,IL13,H2IL13120
N00009604,"Davis, Susan A",D,CA53,H0CA49055
N00042522,"Davison, Johnathan",R,TX24,H8TX24137
N00041214,"Daw, Brad",R,UT03,H8UT03162
N00036127,"Day, Roger",D,IN04,H8IN04231
N00033328,"Day, Tim",R,TXS2,S2TX00379
N00041215,"Dayton, Margaret",R,UT03,H8UT03170
N00040637,"De La Fuente, Ricardo",D,CA34,H8CA34274
N00041514,"De La Torre, John Farmer",D,MO07,H8MO07199
N00042033,"De Leon, Kevin",D,CAS2,S8CA00408
N00041290,"De Stefano, Stefano",R,TXS2,S8TX00319
N00040826,"Deam, Dirk",D,IA04,H8IA04098
N00041923,"Dean, James",R,MTS1,S8MT00242
N00041924,"Dean, Sarah",D,MTS1,S8MT00259
N00042429,"Debates, Jaye",R,IL16,H8IL16179
N00041524,"Debono, Dan",R,NY03,H8NY03151
N00041160,"Decillis, Mike",D,NY11,H8NY11097
N00042234,"Deen, Sam",R,TX05,H8TX05110
N00007781,"DeFazio, Peter",D,OR04,H6OR04047
N00006134,"DeGette, Diana",D,CO01,H6CO01141
N00041600,"Degrow, Richie",D,TX10,H8TX10094
N00042034,"Del Rio, Martin",D,INS1,S8IN00205
N00000615,"DeLauro, Rosa L",D,CT03,H0CT03072
N00030693,"DelBene, Suzan",D,WA01,H0WA08046
N00040741,"Delgado, Antonio",D,NY19,H8NY19181
N00041388,"Della Pia, Max",D,NY23,H8NY23175
N00026048,"Delong, Paul",R,PAS2,S4PA00113
N00041832,"Demapan, Angel Aldan",R,MP01,H8MP01015
N00042442,"Demarco , Adam D.",D,MD03,H8MD03116
N00042092,"Demarco, Adam",D,DC00,H8DC03014
N00041765,"Demartini, Frank",R,CA43,H8CA43143
N00041479,"Demasi, Chase",R,CA12,H8CA12247
N00033449,"Demings, Val",D,FL10,H2FL08063
N00031593,"Denham, Jeff",R,CA10,H0CA19173
N00042063,"Denney, Audrey",D,CA01,H8CA01257
N00042199,"Dent, Mark",D,OH16,H8OH16140
N00041992,"Depizzo, Chris",R,OH13,H8OH13147
N00042046,"Desai, Chintan",D,AR01,H8AR01029
N00034746,"DeSantis, Ron",R,FL06,H2FL00292
N00030709,"Desaulnier, Mark",D,CA11,H0CA10073
N00030957,"Desjarlais, Scott",R,TN04,H0TN04195
N00042121,"Deters, Brian",D,IL18,H8IL18092
N00031317,"Deutch, Ted",D,FL22,H0FL19080
N00036077,"Devine, John",I,MAS1,S8MA00284
N00041159,"Devito, Michael Jr",D,NY11,H8NY11089
N00042133,"Dewitt, Justin",D,LA06,H8LA06147
N00042090,"Diangelo, Craig",R,CT05,H8CT05179
N00025337,"Diaz-Balart, Mario",R,FL25,H2FL25018
N00042345,"Diegel, Christian",R,AZS2,S8AZ00213
N00041035,"Diehl, Geoff",R,MAS1,S8MA00276
N00041175,"Diemand, Larry",D,OH14,H8OH14137
N00042118,"Diganvker, Jitendra",R,IL08,H8IL08101
N00042059,"Dilley, Brenden",R,AZ08,H8AZ08182
N00042364,"Dillingham, Thomas",R,TX06,S8TX00368
N00042508,"Dillingham, Thomas",R,TX06,H8TX06290
N00041847,"DiMasi, Elaine",D,NY01,H8NY01189
N00040934,"Dinge, Dennis",D,NM01,H8NM01349
N00036149,"Dingell, Debbie",D,MI12,H4MI12079
N00041855,"DiPizio, Rosanne",R,NY26,H8NY26129
N00042085,"Doane, Raymon",L,CO01,H8CO01147
N00006023,"Doggett, Lloyd",D,TX35,H4TX10028
N00034876,"Dolgos, Stephen",R,AZ08,H2AZ08151
N00040723,"Domanik, Darlene",D,MI08,H8MI08094
N00041133,"Donahue, Alicia",D,MN03,H8MN03135
N00042505,"Donkervoet, Alex",R,TX03,H8TX03164
N00026586,"Donnelly, Joe",D,INS1,S2IN00091
N00041756,"Donnelly, Tim",R,CA08,H8CA08120
N00036928,"Donovan, Dan",R,NY11,H6NY11174
N00039508,"Dosev, Cris",R,FL01,H6FL01168
N00041637,"Dotson, Howard",D,CO02,H8CO02194
N00042459,"Doty, Sally",R,MS03,H8MS03133
N00042124,"Douglas, Dion A",D,IN05,H8IN05170
N00040772,"Dove, Jeff",R,VA11,H8VA11070
N00041283,"Downing, Troy",R,MTS1,S8MT00218
N00041755,"Doyle, Marge",D,CA08,H8CA08112
N00001373,"Doyle, Mike",D,PA14,H4PA18131
N00040820,"Drew, Danny",D,UTS1,S8UT00119
N00036938,"Driskell, Gretchen",D,MI07,H6MI07223
N00041108,"Drummer, Demond",D,IL01,H8IL01106
N00042242,"Dubberly, Shannon",R,TX06,H8TX06258
N00027577,"Duck, Andrew James",D,MD06,H6MD06121
N00041309,"Duenas, Angelica",3,CA29,H8CA29100
N00030967,"Duffy, Sean P",R,WI07,H0WI07051
N00040901,"Dugdale, Sean",D,IN05,H8IN05147
N00041361,"Dunaway, Kelli",D,MO02,H8MO02190
N00029768,"Dunbar, Cynthia",R,VA06,H8VA06096
N00041752,"Duncan, Dennis",D,CA01,H8CA01224
N00030752,"Duncan, Jeff",R,SC03,H0SC03077
N00040762,"Duncan, John",D,TX06,H8TX06191
N00041943,"Dunn, Marvin",D,FL27,H8FL27151
N00037442,"Dunn, Neal",R,FL02,H6FL02208
N00042173,"Durham, Thomas",D,NM02,H8NM02206
N00041635,"Duterte, Edwin",R,CA43,H8CA43135
N00042038,"Earl, Angelica",D,MOS2,S8MO00186
N00040926,"Eastman, Kara",D,NE02,H8NE02220
N00041652,"Ebel, Jon",D,IL13,H8IL13176
N00042251,"Eden, Madeline",D,TX10,H8TX10128
N00037655,"Edom, Jeremy Lee",I,IN05,H8IN05154
N00036508,"Edwards, Adrienne",D,CA34,H6CA34229
N00040927,"Edwards, Eddie",R,NH01,H8NH01152
N00041865,"Edwards, Greg",D,PA15,H8PA15187
N00042172,"Edwards, Jasen Lemar",I,NM02,H8NM02198
N00040939,"Edwards, Mickey",D,OH02,H8OH02116
N00040688,"Edwards, Ragin",D,GA06,H8GA06328
N00041938,"Edwards, Roger",R,CO06,H8CO06260
N00041323,"Ehr, Phil",D,FL01,H8FL01107
N00042498,"Eichelberger, John",R,PA09,H8PA09024
N00041356,"Eichholz, Rich",D,MI06,H8MI06148
N00041439,"Eisen, Michael",I,CAS2,S8CA00382
N00042062,"Elbinger, Lewis",3,CA01,H8CA01240
N00042439,"Elborn, Martin",R,MD01,H8MD01219
N00042422,"Elleson, John",R,IL09,H8IL09208
N00042080,"Ellinger, Michael",D,CA48,H8CA48126
N00040922,"Ellis, Kathryn",D,MO08,H8MO08098
N00042036,"Ellison, Brian",L,MIS2,S8MI00398
N00028257,"Ellison, Keith",D,MN05,H6MN05183
N00041100,"Ellyson, Daniel",R,GA08,H8GA08092
N00042243,"Ellzey, Jake",R,TX06,H8TX06266
N00042005,"Emert, Jason",R,TN02,H8TN02200
N00040937,"Emig, Zach",D,NY11,H8NY11071
N00035440,"Emmer, Tom",R,MN06,H4MN06087
N00041096,"Enderlin, Chuck",D,GA03,H8GA03051
N00001003,"Engel, Eliot L",D,NY16,H8NY19058
N00042480,"Enoch, Vanessa",D,OH08,H8OH08097
N00040981,"Epstein, Dan",D,TX19,H8TX19103
N00041968,"Epstein, Lena",R,MI11,H8MI11320
N00041282,"Epstein, Lena",R,MIS2,S8MI00356
N00041132,"Erdmann, Jeff",D,MN02,H8MN02079
N00041702,"Escobar, Veronica",D,TX16,H8TX16109
N00007335,"Eshoo, Anna",D,CA18,H8CA12098
N00034549,"Espaillat, Adriano",D,NY13,H2NY13096
N00041308,"Espinoza, Brian",L,CA27,H8CA27104
N00040712,"Estes, Ron",R,KS04,H8KS04112
N00033217,"Esty, Elizabeth",D,CT05,H2CT05131
N00038450,"Evans, Dwight",D,PA02,H6PA02171
N00042444,"Evans, J David",R,MD03,H8MD03132
N00041489,"Evans, Jermaine",R,FL14,H8FL14183
N00034408,"Evans, Jim",R,MO07,H8MO07173
N00040452,"Everhard, Janet",D,OH02,H6OH02292
N00037449,"Faddis, Sam",R,MDS1,S8MD00237
N00041470,"Fagan, Linsey",D,TX26,H8TX26124
N00042039,"Fagg, Russ",R,MTS1,S8MT00275
N00042579,"Faraggi, Eshel",D,IN05,H8IN05212
N00041377,"Farahi, Hermon",D,NV03,H8NV03127
N00035705,"Fareed, Justin",R,CA24,H4CA24142
N00031672,"Farenthold, Blake",R,TX27,H0TX27061
N00040643,"Farrell-Smith, Kelan John",D,CA25,H8CA25066
N00037288,"Faso, John",R,NY19,H6NY19169
N00040509,"Faust, Gregory",L,PA13,H8PA13091
N00036891,"Fawell, Bill",R,IL17,H4IL17077
N00041358,"Feehan, Daniel",D,MN01,H8MN01279
N00007364,"Feinstein, Dianne",D,CAS2,S0CA00199
N00041198,"Fenenbock, Dori",D,TX16,H8TX16083
N00036272,"Ferguson, Dana",D,MI01,H4MI01130
N00039090,"Ferguson, Drew",R,GA03,H6GA03113
N00040821,"Ferguson, Jennifer",D,WAS1,S8WA00202
N00042434,"Ferkinhoff, Tom",R,IN06,H8IN06137
N00041064,"Ferrara, Steve",R,AZ09,H8AZ09024
N00041787,"Ferrer, Gabe",R,FL27,H8FL27110
N00041899,"Fershee, Kendra",D,WV01,H8WV01075
N00040751,"Few, Sheri",R,SC05,H8SC05091
N00041083,"Field, Betty",D,CO05,H8CO05122
N00041486,"Field, John",R,CO01,H8CO01097
N00040708,"Fields, Vernon",R,KS02,H8KS02132
N00040958,"Fienning, Ted",R,SC01,H8SC01108
N00041222,"Fife, Paul",R,UT03,H8UT03246
N00031141,"Fincher, Steve",R,TNS1,S8TN00352
N00040888,"Finkenauer, Abby",D,IA01,H8IA01094
N00041525,"Finley, Russ",R,NY21,H8NY21278
N00041695,"Fischer, Bruce",D,SC07,H8SC07048
N00033443,"Fischer, Deb",R,NES1,S2NE00094
N00041264,"Fisher, Jason E",D,ALS1,S8AL00357
N00041208,"Fisher, Will",D,TX26,H8TX26082
N00041462,"Fitch, Gregory",I,AK01,H8AK01015
N00040902,"Fitzgerald, Steve",R,KS02,H8KS02140
N00042464,"Fitzherbert, Brian",R,NJ02,H8NJ02182
N00040935,"Fitzherbert, Ron",D,NM02,H8NM02123
N00038779,"Fitzpatrick, Brian",R,PA08,H6PA08277
N00034572,"Flaccavento, Anthony",D,VA09,H8VA09066
N00009573,"Flake, Jeff",R,AZS2,S2AZ00141
N00040724,"Flanagan, Peggy",D,MN05,H8MN05155
N00041044,"Flanders, Bob",R,RIS1,S8RI00128
N00030815,"Fleischmann, Chuck",R,TN03,H0TN03254
N00041071,"Fleming, Daniel",D,CA25,H8CA25090
N00041194,"Fletcher, Elizabeth Pannill",D,TX07,H8TX07140
N00031545,"Flores, Bill",R,TX17,H0TX17104
N00041520,"Flores, John Walter",D,NM01,H8NM01422
N00042116,"Flores, Sol",D,IL04,H8IL04159
N00040609,"Flores, Yolie",D,CA34,H8CA34332
N00040740,"Flynn, Brian",D,NY19,H8NY19173
N00038609,"Flynn, Sean",R,CA31,H6CA31134
N00042091,"Ford, Kim R",D,DC00,H8DC01034
N00041482,"Forde, Brian",D,CA45,H8CA45189
N00026631,"Fortenberry, Jeff",R,NE01,H4NE01064
N00029139,"Foster, Bill",D,IL11,H8IL14067
N00042524,"Foster, Vanessa Edwards",D,TX27,H8TX27098
N00040841,"Foster, Will",D,AZ02,H8AZ02102
N00042344,"Fowler, Che",D,AZS2,S8AZ00205
N00026166,"Foxx, Virginia",R,NC05,H4NC05146
N00042534,"Franco, Chris",D,WA08,H8WA08247
N00041306,"Franco, Ricardo",D,CA22,H8CA22147
N00042405,"Francois, Vennia",R,FL07,H8FL07088
N00040830,"Frank, Alexis",D,SC05,H8SC05182
N00040995,"Frank, Ben",D,UT03,H8UT03154
N00002893,"Frankel, Lois J",D,FL21,H2FL14053
N00041822,"Franklin, George",D,MI06,H8MI06163
N00006423,"Franks, Trent",R,AZ08,H4AZ04024
N00042015,"Fraser, Diane",D,VA07,H8VA07102
N00035223,"Freeman, April",D,FL17,H4FL19058
N00031294,"Freilich, Daniel",D,VT01,H8VT01040
N00042367,"Freitas, Nick",R,VAS1,S8VA00313
N00000684,"Frelinghuysen, Rodney",R,NJ11,H2NJ05014
N00042594,"Frenette, Kyle",D,WI07,H8WI07088
N00041564,"Frerick, Austin",D,IA03,H8IA03165
N00040908,"Frick, Bill",D,MD06,H8MD06135
N00041965,"Friday, Steven",D,MI07,H8MI07112
N00006375,"Friedbaum, Jeremy",R,UT03,H8UT03055
N00041860,"Friedenberg, Marc",D,PA05,H8PA05204
N00041237,"Friedman, Alison",D,VA10,H8VA10122
N00030490,"Fudge, Marcia L",D,OH11,H8OH11141
N00039997,"Fuentes, Talia",D,AZ09,H6AZ05133
N00040012,"Fuhrman, Scott",D,FL27,H6FL27031
N00041335,"Fulcher, Russ",R,ID01,H8ID01124
N00041508,"Fulford, Jonathan",D,ME02,H8ME02151
N00042559,"Fuller, Virginia",R,FLS1,S8FL00257
N00041596,"Fullington, Brad",R,TN02,H8TN02135
N00042399,"Furstenberg, Lori",D,CO05,H8CO05163
N00033281,"Gabbard, Tulsi",D,HI02,H2HI02508
N00039503,"Gaetz, Matt",R,FL01,H6FL01119
N00042244,"Gagliardi, Deborah",R,TX06,H8TX06274
N00041500,"Gaither, Kevin",D,IL15,H8IL15072
N00040907,"Galbraith, Allison",D,MD01,H8MD01177
N00040940,"Galbraith, John Michael",D,OH05,H8OH05150
N00039330,"Gallagher, Mike",R,WI08,H6WI08155
N00041169,"Gallant, Rick",D,NY23,H8NY23142
N00036097,"Gallego, Ruben",D,AZ07,H4AZ07043
N00042560,"Gallo, Louis",I,MAS1,S8MA00334
N00042372,"Galvin, Alyse",I,AK01,H8AK00140
N00030856,"Garamendi, John",D,CA03,H0CA10149
N00038832,"Garcia, Adrian",D,TX29,H6TX29064
N00038831,"Garcia, Dominique",D,TX29,H6TX29056
N00041601,"Garcia, Enrique",D,TX16,H8TX16091
N00042114,"Garcia, Jesus",D,IL04,H8IL04134
N00041245,"Garcia, Ramon Hyron",D,WI05,H8WI05157
N00042284,"Garcia, Roel",D,TX29,H8TX29078
N00042282,"Garcia, Sylvia",D,TX29,H8TX29052
N00042255,"Garcia-Ureste, Alia",R,TX16,H8TX16125
N00041144,"Gardner, Jonah",D,NC07,H8NC07119
N00038847,"Garrett, Tom",R,VA05,H6VA05142
N00040914,"Garrod, Eponine",D,MI06,H8MI06122
N00040985,"Garves, Ben",D,TX25,H8TX25118
N00042271,"Garza, Mauro",R,TX21,H8TX21331
N00040658,"Garza, Melissa ""Sharkie""",D,CA34,H8CA34290
N00041350,"Gaskins, Samuel",D,KY01,H8KY01066
N00042391,"Gaspar, Kristin",R,CA49,H8CA49090
N00042481,"Gasper, Theresa",D,OH10,H8OH10119
N00040774,"Gasque, Dorothy",D,WA03,H8WA03172
N00042525,"Gassman, Eddie",R,TX27,H8TX27106
N00036398,"Gaughan, Lawrence",D,VA05,H8VA05163
N00041926,"Gazala, Sarah",R,NVS1,S8NV00164
N00026987,"Gearheart, Marty",R,WV03,H8WV03113
N00040931,"Gebbia, Jack",D,NJ11,H8NJ11134
N00041026,"Gentile, Dominic",R,ALS1,S8AL00332
N00041397,"George, John",D,PA16,H8PA16060
N00040959,"Geren, Mary",D,SC03,H8SC03070
N00042021,"Germanotta, Juliet Dita",D,WI03,H8WI03111
N00040874,"Germanson, Larry",D,CO04,H8CO04075
N00041456,"Gershon, Perry",D,NY01,H8NY01155
N00041887,"Ghorbani, Shireen",D,UT02,H8UT02255
N00040733,"Gianforte, Greg",R,MT01,H8MT01182
N00041191,"Gianukos, Nikolus Dimitry",D,TX02,H8TX02075
N00041286,"Gibbons, Mike",R,OHS1,S8OH00086
N00031128,"Gibbs, Bob",R,OH07,H0OH18077
N00036084,"Gibson, Mark",D,TX22,H4TX22163
N00042137,"Gifford, Rufus",D,MA03,H8MA03171
N00038195,"Gildersleeve, Tim",I,CAS2,S6CA00733
N00036982,"Giles, Dave",R,AZ09,H6AZ09010
N00026221,"Gill, David",D,IL13,H6IL13113
N00027658,"Gillibrand, Kirsten",D,NYS1,S0NY00410
N00040916,"Gilmore, Michael",D,MI13,H8MI13227
N00036919,"Glenn, Darryl",R,CO05,H8CO05148
N00034065,"Gluck, George",3,MD06,H2MD08175
N00040945,"Godfrey, Aaron",D,OH16,H8OH16090
N00026148,"Gohmert, Louis B Jr",R,TX01,H4TX04039
N00041387,"Golden, Ian",D,NY23,H8NY23167
N00041668,"Golden, Jared",D,ME02,H8ME02185
N00041849,"Gomes, Tim",D,NY02,H8NY02070
N00040597,"Gomez, Jimmy",D,CA34,H8CA34266
N00041690,"Gonzalez, Anthony",R,OH16,H8OH16124
N00037615,"Gonzalez, Jenniffer",3,PR00,H6PR00082
N00041948,"Gonzalez, Richard",D,IL04,H8IL04126
N00038809,"Gonzalez, Vicente",D,TX15,H6TX15162
N00042237,"Gooden, Lance",R,TX05,H8TX05144
N00009154,"Goodlatte, Bob",R,VA06,H2VA06115
N00042589,"Goodman, Shira Ms.",D,PA13,H8PA13117
N00042129,"Goodwin, David",I,KY04,H8KY04151
N00042573,"Gosai, Dushyant",D,FL03,H8FL03053
N00030771,"Gosar, Paul",R,AZ04,H0AZ01259
N00036944,"Gottheimer, Josh",D,NJ05,H6NJ05171
N00030880,"Gowdy, Trey",R,SC04,H0SC04257
N00040721,"Grady, Paul",I,MA02,H8MA02066
N00035823,"Graf, James",D,TX02,H8TX02059
N00042078,"Graham, John",I,CA45,H8CA45197
N00008799,"Granger, Kay",R,TX12,H6TX12060
N00041303,"Grant, Andrew",R,CA07,H8CA07056
N00041897,"Grassie, William",I,WA08,H8WA08221
N00036135,"Graves, Garret",R,LA06,H4LA06153
N00013323,"Graves, Sam",R,MO06,H0MO06073
N00030788,"Graves, Tom",R,GA14,H0GA09030
N00040685,"Grawert, Keith",R,GA06,H8GA06294
N00040681,"Gray, Bob",R,GA06,H8GA06252
N00039052,"Gray, Jim",D,KY06,H8KY06172
N00028418,"Grayson, Alan",D,FL11,H6FL08213
N00037444,"Grayson, Dena",D,FL08,H6FL09187
N00026686,"Green, Al",D,TX09,H4TX09095
N00005870,"Green, Gene",D,TX29,H2TX29030
N00042010,"Green, James",R,TX22,H8TX22248
N00041873,"Green, Mark",R,TN07,H8TN07076
N00041809,"Green, Rick",R,MA03,H8MA03114
N00041759,"Greenaway, Diedra",D,CA25,H8CA25108
N00041063,"Greene, Joan",D,AZ05,H8AZ05154
N00039715,"Greene, Michael",R,KY01,H8KY01058
N00041334,"Greenfield, Theresa",D,IA03,H8IA03157
N00041969,"Greimel, Tim",D,MI11,H8MI11338
N00042411,"Griffin, Bradley",R,GA10,H8GA10189
N00042176,"Griffin, Clayburn",R,NM02,H8NM02230
N00042555,"Griffin, Michelle",R,AZS2,S8AZ00239
N00032029,"Griffith, Morgan",R,VA09,H0VA09055
N00025284,"Grijalva, Raul M",D,AZ03,H2AZ07070
N00042410,"Grimes, Demetries",D,FL26,H8FL26054
N00031401,"Grimm, Michael",R,NY11,H0NY13074
N00040743,"Grisez, Brandon",R,OH12,H8OH12123
N00041597,"Gross, Ken",R,TN02,H8TN02143
N00036409,"Grothman, Glenn S",R,WI06,H4WI06048
N00042191,"Gruber, Jason Bradley",R,OH08,H8OH08089
N00034146,"Grunwald, John",R,TX27,H2TX34063
N00042458,"Guest, Michael Patrick",R,MS03,H8MS03125
N00032386,"Guild, Tom",D,OK05,H0OK05155
N00040720,"Guillory, Josh",R,LA03,H8LA03037
N00041097,"Guillory, Ryan",D,GA04,H8GA04109
N00040905,"Gunderson, Scott",R,MA03,H8MA03064
N00041774,"Gunning, Jim",R,CO04,H8CO04117
N00042152,"Gupta, Suneel",D,MI11,H8MI11346
N00029675,"Guthrie, Brett",R,KY02,H8KY02031
N00004874,"Gutierrez, Luis V",D,IL04,H2IL08039
N00041797,"Haaf, Grace",D,IL06,H8IL06170
N00040933,"Haaland, Debra",D,NM01,H8NM01331
N00013232,"Haas, Bill",D,MO02,H8MO02224
N00041966,"Haberman, Daniel",D,MI11,H8MI11304
N00041951,"Hackett, Mary Patricia",D,IN02,H8IN02177
N00042302,"Hader, Shannon",D,WA08,H8WA08239
N00040946,"Hagan, Christina",R,OH16,H8OH16108
N00031390,"Hagedorn, Jim",R,MN01,H0MN01045
N00042267,"Hagen, Foster",R,TX21,H8TX21299
N00041941,"Haggman, Matt",D,FL27,H8FL27136
N00041487,"Haggman, Matthew W",D,DC00,H8DC27013
N00042040,"Hahn, Pat",R,NYS1,S8NY00199
N00033277,"Hall, Isadore",D,CA44,H2CA35100
N00005852,"Hall, Jerry",R,TX27,H8TX27064
N00042146,"Hall, Matthew",R,MI03,H8MI03087
N00041800,"Hall, Mel",D,IN02,H8IN02169
N00042130,"Hall, Seth",D,KY04,H8KY04169
N00042195,"Halverstadt, Jon",R,OH12,H8OH12198
N00035461,"Halvorson, Art",R,PA09,H4PA09056
N00040867,"Hamadanchy, Kia",D,CA45,H8CA45155
N00028141,"Hamilton, Eddie",R,NV03,H8NV03135
N00041281,"Hammer, Alex",I,MES1,S8ME00148
N00041376,"Hammond, Scott",R,NV03,H8NV03119
N00035477,"Handel, Karen",R,GA06,H8GA06286
N00042088,"Hanlon, Karl",D,CO03,H8CO03218
N00041266,"Hansen, Michael",D,ALS1,S8AL00373
N00042277,"Hansen, West",D,TX25,H8TX25142
N00042523,"Hansen, West",D,TX25,H8TX25167
N00041678,"Hanson, Ben",D,ND01,H8ND01029
N00042109,"Hanson, Cyndi",R,IA04,H8IA04148
N00041236,"Hanson, Dave",D,VA10,H8VA10114
N00030240,"Hanson, Tom",R,IL05,H8IL05073
N00041173,"Harbaugh, Ken",D,OH07,H8OH07123
N00040853,"Harder, Josh",D,CA10,H8CA10126
N00035628,"Hardy, Cresent",R,NV04,H4NV04017
N00042390,"Harkey, Diane",R,CA49,H8CA49082
N00042414,"Harmon, Patrick",R,IL02,H8IL02112
N00029323,"Harmon, Wayne E",R,IN07,H8IN07150
N00029632,"Harper, Gregg",R,MS03,H8MS03067
N00040619,"Harrell, Sally",D,GA06,H8GA06187
N00029147,"Harris, Andy",R,MD01,H8MD01094
N00035491,"Harris, Mark",R,NC09,H8NC09131
N00042516,"Harris, Matt",D,TX10,H8TX10144
N00041275,"Harris, Pat",D,CAS2,S8CA00358
N00041584,"Harris, Tamara",D,NJ11,H8NJ11175
N00029521,"Harris, Thomas E",R,MD07,H8MD07091
N00040947,"Harris, Tim",R,OK01,H8OK01165
N00042017,"Harrison, Adam",I,WA10,H8WA10011
N00042509,"Harrison, Kevin",R,TX06,H8TX06308
N00040775,"Harrison, Peter",D,WA03,H8WA03180
N00041864,"Hart, Kristopher",R,PA13,H8PA13109
N00041375,"Hart, Richard",D,NV03,H8NV03101
N00042169,"Hartford, Andrew",D,NJ12,H8NJ12090
N00040900,"Hartley, Michael",D,IN05,H8IN05139
N00037296,"Hartman, Christina",D,PA16,H6PA16296
N00040744,"Hartman, Darrell",R,OH13,H8OH13139
N00041152,"Hartman, Katherine",D,NJ03,H8NJ03198
N00042346,"Hartson, Alison",D,CAS2,S8CA00416
N00031005,"Hartzler, Vicky",R,MO04,H0MO04086
N00041666,"Hashimi, Nadia",D,MD06,H8MD06176
N00041654,"Haskell, Jason",R,IL16,H8IL16138
N00042510,"Hassell, Mel",R,TX06,H8TX06316
N00042073,"Hassett, Doug",R,CA36,H8CA36204
N00002884,"Hastings, Alcee L",D,FL20,H2FL23021
N00009869,"Hatch, Orrin G",R,UTS1,S6UT00063
N00041122,"Haulmark, Chris",D,KS03,H8KS03098
N00042226,"Havens, Jonathan",R,TX02,H8TX02182
N00041620,"Hawley, Josh",R,MOS2,S8MO00160
N00042297,"Haywood, Chaz",R,VA06,H8VA06112
N00041645,"Hazel, Shane",R,GA07,H8GA07193
N00041963,"Hearsey, Chris",D,MD06,H8MD06218
N00031557,"Heck, Dennis",D,WA10,H0WA03161
N00041333,"Heckroth, Thomas",D,IA01,H8IA01128
N00041581,"Heenan, John",D,MT01,H8MT00101
N00041411,"Hegar, Mary Jennings",D,TX31,H8TX31058
N00041230,"Heineman, Aaron",3,UT03,H8UT03329
N00029835,"Heinrich, Martin",D,NMS1,S2NM00088
N00033979,"Heinz, Matt",D,AZ02,H8AZ02136
N00041967,"Heise, Kurt",R,MI11,H8MI11312
N00033782,"Heitkamp, Heidi",D,NDS2,S2ND00099
N00042466,"Heitner, Jesse Andrew",D,NM01,H8NM01455
N00027522,"Heller, Dean",R,NVS1,S2NV00183
N00041000,"Helmer, Daniel",D,VA10,H8VA10080
N00041216,"Henderson, Deidre",R,UT03,H8UT03188
N00041796,"Henderson, Nick",R,ID01,H8ID01157
N00041032,"Henderson, Terry",R,INS1,S8IN00130
N00041373,"Hendricks, Michael",R,NM01,H8NM01398
N00042502,"Hendrickson, George",I,SD01,H8SD01105
N00041587,"Henry, Brendon",D,NY01,H8NY01171
N00041604,"Henry, David Dean",D,TX32,H8TX32130
N00041025,"Henry, Ed",R,ALS1,S8AL00324
N00041641,"Henry, James Francis Mr.",D,FL11,H8FL11122
N00024922,"Hensarling, Jeb",R,TX05,H2TX05121
N00040885,"Hepburn, Michael",D,FL27,H8FL27011
N00026505,"Hermanson, Barry",3,CA12,H4CA12089
N00040829,"Hern, Kevin",R,OK01,H8OK01157
N00040679,"Hernandez, Alexander",I,GA06,H8GA06237
N00041125,"Hernandez, Carlos",R,MA06,H8MA06091
N00041533,"Hernandez, Christian",D,TX09,H8TX09120
N00041291,"Hernandez, Irasema Ramirez",D,TXS2,S8TX00327
N00040613,"Hernandez, Sara",D,CA34,H8CA34142
N00041454,"Herrell, Yvette",R,NM02,H8NM02156
N00034218,"Herrod, Christopher Niles",R,UT03,H8UT03253
N00041396,"Herschel, Judy",D,PA10,H8PA10170
N00041170,"Hertzler, John G",D,NY23,H8NY23159
N00041155,"Hewitt, Martin",I,NJ11,H8NJ11159
N00032243,"Hice, Jody B",R,GA10,H0GA07125
N00041392,"Hickey, Adam",3,OH14,H8OH14145
N00042183,"Hicks, Sander",D,NY12,H8NY12137
N00041413,"Hicks, Tom",D,VA01,H8VA01287
N00027060,"Higgins, Brian M",D,NY26,H4NY27076
N00039953,"Higgins, Clay",R,LA03,H6LA03148
N00040807,"Hildebrand, David",D,CAS2,S8CA00317
N00040739,"Hildebrandt, Madeline",D,NM02,H8NM02115
N00035792,"Hill, French",R,AR02,H4AR02141
N00040676,"Hill, Judson",R,GA06,H8GA06203
N00040644,"Hill, Katie",D,CA25,H8CA25074
N00040875,"Hill, Owen",R,CO05,H8CO05114
